Song name,Album Name,Position on Album,In Hot 100 Billboard ,Position,Year ,Song length in seconds,BPM value,Key,Sentiment,Category,Word Count
Sometimes it snows in April,Parade,12,0,0,1986,408,106,A,8,Positive,279
Kiss,Parade,10,1,1,1986,217,111.6,A m,18,Positive,275
New Position,Parade,2,0,0,1986,140,124,B,86,Very Positive,209
Girls and Boys,Parade,5,0,0,1986,329,116,B b m,100,Very Positive,529
Christopher Tracy's parade,Parade,1,0,0,1986,131,123,E,48,Positive,95
I wonder U,Parade,3,0,0,1986,99,101,E,70,Very Positive,61
Under the cherry moon,Parade,4,0,0,1986,177,117,E m,48,Positive,118
Life can be so nice,Parade,6,0,0,1986,193,117,F,92,Very Positive,219
Anotherloverholenyohead,Parade,11,0,0,1986,240,104,F #m,60,Very Positive,304
Do u lie ?,Parade,9,0,0,1986,166,104,G,-18,Negative,284
Mountains,Parade,8,1,23,1986,237,102,G ,68,Very Positive,188
Venus Di Milo,Parade,7,0,0,1986,115,93,G b,100,Very Positive,1